OBJECTID,Shape,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
1,"(40.90374607200005, -73.90275904299995)",NYPL57,NYPL,Other,212-340-0903, , ,718-549-1212, ,Riverdale Branch,5540,Mosholu Avenue,Bronx,10471,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverdale Branch",5540 Mosholu Avenue,"Bronx, NY 10471"
2,"(40.84951423200005, -73.9175712739999)",NYPL58,NYPL,Other,212-340-0903, , ,718-731-2074, ,Sedgwick Branch,1701,Martin Luther King Jr. Blvd.,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Sedgwick Branch",1701 Martin Luther King Jr. Blvd.,"Bronx, NY 10453"
3,"(40.81873237800005, -73.86289940699993)",NYPL59,NYPL,Other,212-340-0903, , ,718-589-0880, ,Soundview Branch,660,Soundview Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Soundview Branch",660 Soundview Avenue,"Bronx, NY 10473"
4,"(40.88624986900004, -73.91463247999991)",NYPL60,NYPL,Other,212-340-0903, , ,718-796-1202, ,Spuyten Duyvil Branch,650,West 235th Street,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Spuyten Duyvil Branch",650 West 235th Street,"Bronx, NY 10463"
5,"(40.82289679200005, -73.8191131129999)",NYPL61,NYPL,Other,212-340-0903, , ,718-792-2612, ,Throg's Neck Branch,3025,Cross Bronx Exp. Ext.,Bronx,10465,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Throg's Neck Branch",3025 Cross Bronx Exp. Ext.,"Bronx, NY 10465"
6,"(40.84605154500008, -73.89835071599992)",NYPL62,NYPL,Other,212-340-0903, , ,718-299-5177, ,Tremont Branch,1866,Washington Avenue,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tremont Branch",1866 Washington Avenue,"Bronx, NY 10457"
7,"(40.88276341300008, -73.89392962799991)",NYPL63,NYPL,Other,212-340-0903, , ,718-543-5150, ,Van Cortlandt Branch,3874,Sedgwick Avenue,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Cortlandt Branch",3874 Sedgwick Avenue,"Bronx, NY 10463"
8,"(40.85487079200004, -73.86417325699995)",NYPL64,NYPL,Other,212-340-0903, , ,718-829-5864, ,Van Nest Branch,2147,Barnes Avenue,Bronx,10462,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Nest Branch",2147 Barnes Avenue,"Bronx, NY 10462"
9,"(40.891125439000064, -73.85954197799992)",NYPL65,NYPL,Other,212-340-0903, , ,718-652-4663, ,Wakefield Branch,4100,Lowerre Place,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Wakefield Branch",4100 Lowerre Place,"Bronx, NY 10466"
10,"(40.84471138200007, -73.88307872699994)",NYPL66,NYPL,Other,212-340-0903, , ,718-367-5376, ,West Farms Branch,2085,Honeywell Avenue,Bronx,10460,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West Farms Branch",2085 Honeywell Avenue,"Bronx, NY 10460"
11,"(40.841102954000064, -73.84661901299995)",NYPL67,NYPL,Other,212-340-0903, , ,718-863-0436, ,Westchester Square Branch,2521,Glebe Avenue,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Westchester Square Branch",2521 Glebe Avenue,"Bronx, NY 10461"
12,"(40.90042336600004, -73.86793985999992)",NYPL68,NYPL,Other,212-340-0903, , ,718-519-9627, ,Woodlawn Heights Branch,4355,Katonah Avenue,Bronx,10470,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodlawn Heights Branch",4355 Katonah Avenue,"Bronx, NY 10470"
13,"(40.82064909500008, -73.90463638099993)",NYPL69,NYPL,Other,212-340-0903, , ,718-665-6255, ,Woodstock Branch,761,East 160th Street,Bronx,10456,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodstock Branch",761 East 160th Street,"Bronx, NY 10456"
14,"(40.59036938400004, -74.10112585399992)",NYPL70,NYPL,Other,212-340-0903, , ,718-351-1444, ,Dongan Hills Branch,1617,Richmond Road,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Dongan Hills Branch",1617 Richmond Road,"Staten Island, NY 10304"
15,"(40.55243065600007, -74.15111624799994)",NYPL71,NYPL,Other,212-340-0903, , ,718-984-6670, ,Great Kills Branch,56,Giffords Lane,Staten Island,10308,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Great Kills Branch",56 Giffords Lane,"Staten Island, NY 10308"
16,"(40.53407323500005, -74.19326989199993)",NYPL72,NYPL,Other,212-340-0903, , ,718-984-4636, ,Huguenot Park Branch,830,Huguenot Avenue,Staten Island,10312,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Huguenot Park Branch",830 Huguenot Avenue,"Staten Island, NY 10312"
17,"(40.57191697400009, -74.11197932699991)",NYPL73,NYPL,Other,212-340-0903, , ,718-351-2977, ,New Dorp Regional Branch,309,New Dorp Lane,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Dorp Regional Branch",309 New Dorp Lane,"Staten Island, NY 10306"
18,"(40.637577004000036, -74.1311426119999)",NYPL74,NYPL,Other,212-340-0903, , ,718-442-0158, ,Port Richmond Branch,75,Bennett Street,Staten Island,10302,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Port Richmond Branch",75 Bennett Street,"Staten Island, NY 10302"
19,"(40.56654660400005, -74.1385471989999)",NYPL75,NYPL,Other,212-340-0903, , ,718-668-0413, ,Richmondtown Branch,200,Clarke Avenue,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Richmondtown Branch",200 Clarke Avenue,"Staten Island, NY 10306"
20,"(40.59582583300005, -74.06299054999994)",NYPL76,NYPL,Other,212-340-0903, , ,718-816-5834, ,South Beach Branch,21-25,Robin Road,Staten Island,10305,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, South Beach Branch",21-25 Robin Road,"Staten Island, NY 10305"
21,"(40.641839454000035, -74.07670494699994)",NYPL77,NYPL,Other,212-340-0903, , ,718-442-8560, ,St. George Library Ctr.,5,Central Avenue,Staten Island,10301,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. George Library Center",5 Central Avenue,"Staten Island, NY 10301"
22,"(40.62625101900005, -74.07785783499992)",NYPL78,NYPL,Other,212-340-0903, , ,718-727-0427, ,Stapleton Branch,132,Canal Street,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Stapleton Branch",132 Canal Street,"Staten Island, NY 10304"
